idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersFaxNumber,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,tr-org:hasLEI,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,isIncorporatedIn,isDomiciledIn,hasURL,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,hasInactiveDate,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy
https://permid.org/1-25727367036,tr-fin:Instrument,25727367036,,,,,,,,,,,,,,,,,,,,,,Tuscan Holdings Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727367035,https://permid.org/1-5068934015
https://permid.org/1-25727377821,tr-fin:Instrument,25727377821,,,,,,,,,,,,,,,,,,,,,,Tuscan Holdings Units,https://permid.org/1-302043,tr-fin:instrumentStatusActive,https://permid.org/1-25727377820,https://permid.org/1-5067935895
https://permid.org/1-25727356580,tr-fin:Instrument,25727356580,,,,,,,,,,,,,,,,,,,,,,Alussa Energy Acquisition Ord Shs Class A,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727356554,https://permid.org/1-5071525193
https://permid.org/1-21688992873,tr-fin:Instrument,21688992873,,,,,,,,,,,,,,,,,,,,,,ChaSerg Technology Acquisition Ord Shs Class B (Unlisted),https://permid.org/1-300281,tr-fin:instrumentStatusActive,,https://permid.org/1-5065371456
https://permid.org/1-21662543191,tr-fin:Instrument,21662543191,,,,,,,,,,,,,,,,,,,,,,ChaSerg Technology Acquisition Units,https://permid.org/1-302043,tr-fin:instrumentStatusInActive,https://permid.org/1-25727394832,https://permid.org/1-5065371456
https://permid.org/1-25727356194,tr-fin:Instrument,25727356194,,,,,,,,,,,,,,,,,,,,,,LIV Capital Acquisition Class A Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727356192,https://permid.org/1-5071553026
https://permid.org/1-21607801584,tr-fin:Instrument,21607801584,,,,,,,,,,,,,,,,,,,,,,Vantage Energy Acquisition Units,https://permid.org/1-302043,tr-fin:instrumentStatusInActive,https://permid.org/1-25727437810,https://permid.org/1-5054412488
https://permid.org/1-8590020360,tr-fin:Instrument,8590020360,,,,,,,,,,,,,,,,,,,,,,Riscorp Inc Rights,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-21475335465,https://permid.org/1-5000088092
https://permid.org/1-8590943359,tr-fin:Instrument,8590943359,,,,,,,,,,,,,,,,,,,,,,American Business Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-55835381765,https://permid.org/1-4295900385
https://permid.org/1-8589951145,tr-fin:Instrument,8589951145,,,,,,,,,,,,,,,,,,,,,,NTR Acquisition Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusInActive,https://permid.org/1-21475480682,https://permid.org/1-4295902795
https://permid.org/1-25727442569,tr-fin:Instrument,25727442569,,,,,,,,,,,,,,,,,,,,,,GTY Technology Holdings Ord Shs,https://permid.org/1-300281,tr-fin:instrumentStatusActive,https://permid.org/1-25727442568,https://permid.org/1-5068315017
